title;ref;price
"Продам 1-к. квартиру с диз. ремонтом в ЖК ""Феличита"", Сокольники";https://www.olx.ua/obyavlenie/prodam-1-k-kvartiru-s-diz-remontom-v-zhk-felichita-sokolniki-IDL31hX.html#601302ccdd;2 892 456 грн.
"Впервые! ЖК ""Гидропарк"" 2 ком.квартира S=52,75 м2, этаж 5й этаж! A";https://www.olx.ua/obyavlenie/vpervye-zhk-gidropark-2-kom-kvartira-s52-75-m2-etazh-5y-etazh-a-IDLngN6.html#601302ccdd;812 642 грн.
Лучшее предложение!!!В новострое ЖК Дом на Сумской продам 3к.квартиру;"https://www.olx.ua/obyavlenie/luchshee-predlozhenie-v-novostroe-zhk-dom-na-sumskoy-prodam-3k-kvartiru-IDJSqqj.html#601302ccdd;promoted";7 079 630 грн.
Продам квартиру в ЖК Радужном;"https://www.olx.ua/obyavlenie/prodam-kvartiru-v-zhk-raduzhnom-IDKGmGm.html#601302ccdd;promoted";1 192 794 грн.
Низкая цена! 1 ком квартира  ЖК Оазис! вблизи метро Героев Труда B;https://www.olx.ua/obyavlenie/nizkaya-tsena-1-kom-kvartira-zhk-oazis-vblizi-metro-geroev-truda-b-IDLngLd.html#601302ccdd;867 737 грн.
ОКНА НА РЕЧКУ ЖК Птичка, 2х комнатная, Академика Павлова, Салтовка P;https://www.olx.ua/obyavlenie/okna-na-rechku-zhk-ptichka-2h-komnatnaya-akademika-pavlova-saltovka-p-IDLngEW.html#601302ccdd;853 963 грн.
Продаю 1к квартиру 48 кв. м. в новобудові ЖК Перемоги-2.;https://www.olx.ua/obyavlenie/prodayu-1k-kvartiru-48-kv-m-v-novobudov-zhk-peremogi-2-IDL0xHD.html#601302ccdd;867 737 грн.
3к квартира. Новострой. Гагарина. Одесская. Жилстрой 2 L01;https://www.olx.ua/obyavlenie/3k-kvartira-novostroy-gagarina-odesskaya-zhilstroy-2-l01-IDLrVPA.html#601302ccdd;2 341 512 грн.
Впервые! Салтовка! 27500$! ЖК Птичка, дом №1! 2 ком квартира S=56м2! A;https://www.olx.ua/obyavlenie/vpervye-saltovka-27500-zhk-ptichka-dom-1-2-kom-kvartira-s56m2-a-IDLzyOe.html#601302ccdd;757 548 грн.
Однокомнатная квартира с ремонтом, Салтовка, ТРК Украина;https://www.olx.ua/obyavlenie/odnokomnatnaya-kvartira-s-remontom-saltovka-trk-ukraina-IDLzyKL.html#601302ccdd;6 500 грн.
БЕЗ КОМИССИИ! Алексеевка! ЖК Победы 2! 1 ком квартира S=54,02м2! AA;https://www.olx.ua/obyavlenie/bez-komissii-alekseevka-zhk-pobedy-2-1-kom-kvartira-s54-02m2-aa-IDLngsv.html#601302ccdd;1 026 380 грн.
Продам 1 ком квартиру в новострое, ЖК Мира 4, м. Индустриальная;https://www.olx.ua/obyavlenie/prodam-1-kom-kvartiru-v-novostroe-zhk-mira-4-m-industrialnaya-IDLzyJ1.html#601302ccdd;1 170 756 грн.
Алексеевка! Новострой! КДСК! Ремонт! Продам 3 ком квартиру 72 м2. BM;https://www.olx.ua/obyavlenie/alekseevka-novostroy-kdsk-remont-prodam-3-kom-kvartiru-72-m2-bm-IDLzyIY.html#601302ccdd;3 526 042 грн.
Сдам гостинку м. 23 Августа П.Поле;https://www.olx.ua/obyavlenie/sdam-gostinku-m-23-avgusta-p-pole-IDJJiDz.html#601302ccdd;4 000 грн.
Продам гостинку м.Масельского  с ремонтом.;"https://www.olx.ua/obyavlenie/prodam-gostinku-m-maselskogo-s-remontom-IDLagQV.html#601302ccdd;promoted";198 340 грн.
Без комиссии теплую 3 из кв 81м2 и кухня-гостин 25м2 с капремон м Бар;https://www.olx.ua/obyavlenie/bez-komissii-tepluyu-3-iz-kv-81m2-i-kuhnya-gostin-25m2-s-kapremon-m-bar-IDKFQC0.html#601302ccdd;1 291 964 грн.
Сдам 1 ком. квартиру в новострое ЖК Левада м. Гагарина;https://www.olx.ua/obyavlenie/sdam-1-kom-kvartiru-v-novostroe-zhk-levada-m-gagarina-IDLzyul.html#601302ccdd;13 774 грн.
54000 уе Просторная 3х ком квартира Новострой ЖК Оазис! Героев Труда B;https://www.olx.ua/obyavlenie/54000-ue-prostornaya-3h-kom-kvartira-novostroy-zhk-oazis-geroev-truda-b-IDLng9p.html#601302ccdd;1 487 549 грн.
БЕЗ КОМИССИИ! ЖК ОАЗИС! Салтовка! 3 ком квартира S=89,80м2,этаж 11й!AA;https://www.olx.ua/obyavlenie/bez-komissii-zhk-oazis-saltovka-3-kom-kvartira-s89-80m2-etazh-11y-aa-IDLng2X.html#601302ccdd;1 526 600 грн.
Купить 1 комнатную 39м2 в сданом доме Новые дома;https://www.olx.ua/obyavlenie/kupit-1-komnatnuyu-39m2-v-sdanom-dome-novye-doma-IDLnfKf.html#601302ccdd;550 944 грн.
Продам КОММУНАЛКИ В ЦЕНТРЕ, пер.Троицкий, м. Исторический музей;"https://www.olx.ua/obyavlenie/prodam-kommunalki-v-tsentre-per-troitskiy-m-istoricheskiy-muzey-IDLxZWS.html#c6322527a2;promoted";165 283 грн.
Срочно! Реальная  1к с Ремонтом Центр ул. Чайковского 100% ж/б;"https://www.olx.ua/obyavlenie/srochno-realnaya-1k-s-remontom-tsentr-ul-chaykovskogo-100-zh-b-IDLv6SP.html#c6322527a2;promoted";950 378 грн.
Это ваша квартира;"https://www.olx.ua/obyavlenie/eto-vasha-kvartira-IDLwZzj.html#c6322527a2;promoted";661 133 грн.
"Аренда квартиры Харьков БЕЗ комиссии 2к, прямо у Метро ""Холодная гора""";"https://www.olx.ua/obyavlenie/arenda-kvartiry-harkov-bez-komissii-2k-pryamo-u-metro-holodnaya-gora-IDLwdiy.html#c6322527a2;promoted";11 900 грн.
Сдам квартиру студию ЖК Воробьевы горы,пер.Шевченковский д. 32.;"https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-zhk-vorobevy-gory-per-shevchenkovskiy-d-32-IDLhx1X.html#c6322527a2;promoted";5 300 грн.
Продам 1 ком. кв. ул. Достоевского;https://www.olx.ua/obyavlenie/prodam-1-kom-kv-ul-dostoevskogo-IDLnfiQ.html#c6322527a2;619 812 грн.
3-комнатная квартира на Салтовке Юбилейный м. Барабашова АН;https://www.olx.ua/obyavlenie/3-komnatnaya-kvartira-na-saltovke-yubileynyy-m-barabashova-an-IDLnfnF.html#c6322527a2;964 152 грн.
Сдам 1-комнатную квартиру;https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-IDLzy0f.html#c6322527a2;5 000 грн.
cдам свою коммуналку на историческом музее;https://www.olx.ua/obyavlenie/cdam-svoyu-kommunalku-na-istoricheskom-muzee-IDLzxTS.html#c6322527a2;3 400 грн.
Продам 1к.квартиру на 7этаже в ЖК Левада-2, площадь 43м2  ДОМ 5! ww;https://www.olx.ua/obyavlenie/prodam-1k-kvartiru-na-7etazhe-v-zhk-levada-2-ploschad-43m2-dom-5-ww-IDLnfgt.html#c6322527a2;936 605 грн.
Продам самую доступную 1к студию в ЖК Птичка Салтовка;https://www.olx.ua/obyavlenie/prodam-samuyu-dostupnuyu-1k-studiyu-v-zhk-ptichka-saltovka-IDKMgZP.html#c6322527a2;509 596 грн.
Гостинка на Гвардейцев Широнинцев;"https://www.olx.ua/obyavlenie/gostinka-na-gvardeytsev-shironintsev-IDJtTLn.html#c6322527a2;promoted";316 793 грн.
Продам квартиру в ЖК Воробьёвы горы;"https://www.olx.ua/obyavlenie/prodam-kvartiru-v-zhk-vorobevy-gory-IDIYc9T.html#c6322527a2;promoted";468 302 грн.
Продам 1-к.квартиру 53 м.кв ЖК Левада2 дом5, цена 42000у.е ww;https://www.olx.ua/obyavlenie/prodam-1-k-kvartiru-53-m-kv-zhk-levada2-dom5-tsena-42000u-e-ww-IDLneSU.html#c6322527a2;1 156 982 грн.
Продам квартиру в центре;https://www.olx.ua/obyavlenie/prodam-kvartiru-v-tsentre-IDKFvgM.html#c6322527a2;1 515 096 грн.
Продам квартиру возле метро Масельского;"https://www.olx.ua/obyavlenie/prodam-kvartiru-vozle-metro-maselskogo-IDLiMqT.html#c6322527a2;promoted";964 152 грн.
М барабашова в пешей доступности;"https://www.olx.ua/obyavlenie/m-barabashova-v-peshey-dostupnosti-IDLwqb1.html#c6322527a2;promoted";6 500 грн.
Сдам реальную однокомнатную квартиру со свежим ремонтом;https://www.olx.ua/obyavlenie/sdam-realnuyu-odnokomnatnuyu-kvartiru-so-svezhim-remontom-IDLeQqk.html#c6322527a2;5 000 грн.
Научная! Авантаж! Ремонт! Продам 3 ком квартиру 116 м2  17/22  BM;https://www.olx.ua/obyavlenie/nauchnaya-avantazh-remont-prodam-3-kom-kvartiru-116-m2-17-22-bm-IDLwE7f.html#c6322527a2;7 300 008 грн.
Купить  1 комнатную на Салтовке в высотке;https://www.olx.ua/obyavlenie/kupit-1-komnatnuyu-na-saltovke-v-vysotke-IDLnelX.html#c6322527a2;606 038 грн.
Продам комнату с балконом м. Масельского. Капремонт.;https://www.olx.ua/obyavlenie/prodam-komnatu-s-balkonom-m-maselskogo-kapremont-IDLzxhH.html#c6322527a2;267 208 грн.
Продам 1к.квартиру Дворец Спорта 5минут;https://www.olx.ua/obyavlenie/prodam-1k-kvartiru-dvorets-sporta-5minut-IDLnec7.html#c6322527a2;771 322 грн.
Продам 2-комн. квартиру в ЖК «Павловский квартал», м Научная AH;https://www.olx.ua/obyavlenie/prodam-2-komn-kvartiru-v-zhk-pavlovskiy-kvartal-m-nauchnaya-ah-IDLne8p.html#c6322527a2;2 121 134 грн.
Однокомнатная без комисии в обжитом новострое жк салтовское шоссе;https://www.olx.ua/obyavlenie/odnokomnatnaya-bez-komisii-v-obzhitom-novostroe-zhk-saltovskoe-shosse-IDKBVFz.html#c6322527a2;1 170 756 грн.
Продам 1к гостинку метро Университет 3 мин.N9;https://www.olx.ua/obyavlenie/prodam-1k-gostinku-metro-universitet-3-min-n9-IDJSayC.html#c6322527a2;661 133 грн.
Квартира-студия с евроремонтом, 19700$  Французский бульвар;https://www.olx.ua/obyavlenie/kvartira-studiya-s-evroremontom-19700-frantsuzskiy-bulvar-IDHSLqH.html#c6322527a2;542 680 грн.
Видовая 1К кв-ра 48м2 ЖК Оазис Рядом с Караваном Новострой Салтовка OY;https://www.olx.ua/obyavlenie/vidovaya-1k-kv-ra-48m2-zhk-oazis-ryadom-s-karavanom-novostroy-saltovka-oy-IDLndT4.html#c6322527a2;922 831 грн.
Продам 3 ком.квартиру.м.Холодная гора 5 минут.;https://www.olx.ua/obyavlenie/prodam-3-kom-kvartiru-m-holodnaya-gora-5-minut-IDLrU7s.html#c6322527a2;1 404 907 грн.
Продам свою 1комн кв ЖК Журавли ,метро Героев Труда с ремонтом , 6/23;"https://www.olx.ua/obyavlenie/prodam-svoyu-1komn-kv-zhk-zhuravli-metro-geroev-truda-s-remontom-6-23-IDKRUbd.html#c6322527a2;promoted";1 570 190 грн.
Продаю 3 комнатную квартиру первый двор от м. Героев Труда 521 м/р NA;https://www.olx.ua/obyavlenie/prodayu-3-komnatnuyu-kvartiru-pervyy-dvor-ot-m-geroev-truda-521-m-r-na-IDLndog.html#c6322527a2;1 432 454 грн.
Сдам комнату центр;https://www.olx.ua/obyavlenie/sdam-komnatu-tsentr-IDLzvpB.html#c6322527a2;3 500 грн.
Продам 2 комнатную квартиру гостинного типа на Одесской;https://www.olx.ua/obyavlenie/prodam-2-komnatnuyu-kvartiru-gostinnogo-tipa-na-odesskoy-IDLrTH4.html#c6322527a2;661 133 грн.
Продам однокомнатную квартиру по ул. Докучаева с капитальным ремонтом;"https://www.olx.ua/obyavlenie/prodam-odnokomnatnuyu-kvartiru-po-ul-dokuchaeva-s-kapitalnym-remontom-IDLcFEJ.html#c6322527a2;promoted";550 944 грн.
ДВУХСОТОРОННЯЯ 1 комнатная  54м2 новострое ЖК Сказка ДОМ СКАЗКА P;https://www.olx.ua/obyavlenie/dvuhsotoronnyaya-1-komnatnaya-54m2-novostroe-zhk-skazka-dom-skazka-p-IDKFbZ3.html#c6322527a2;909 058 грн.
Сдам отличную 2-комнатную квартиру недалеко от Метро Барабашова;https://www.olx.ua/obyavlenie/sdam-otlichnuyu-2-komnatnuyu-kvartiru-nedaleko-ot-metro-barabashova-IDLzvs7.html#c6322527a2;6 000 грн.
Сдам 1комн.кв. Новые Дома/Олимпийская (не агентство);"https://www.olx.ua/obyavlenie/sdam-1komn-kv-novye-doma-olimpiyskaya-ne-agentstvo-IDLkc8k.html#c6322527a2;promoted";7 500 грн.
Сдам 1к 7/9 м.Инлустриальная, ул.Шариковая 54. Капремонт, мебель и тех;https://www.olx.ua/obyavlenie/sdam-1k-7-9-m-inlustrialnaya-ul-sharikovaya-54-kapremont-mebel-i-teh-IDLzv2k.html#c6322527a2;3 000 грн.
Реальная! 1 ком. кв. по улице Героев Труда! (531 м/р) ВСЕГО 26500$! NA;https://www.olx.ua/obyavlenie/realnaya-1-kom-kv-po-ulitse-geroev-truda-531-m-r-vsego-26500-na-IDLncIw.html#c6322527a2;730 001 грн.
Продам квартиру от хозяина жк птичка 35.22;"https://www.olx.ua/obyavlenie/prodam-kvartiru-ot-hozyaina-zhk-ptichka-35-22-IDLoP2H.html#c6322527a2;promoted";575 736 грн.
ЖК ЛУЧ 1 комнатная 48м2, ДОМ СДАН, Московский проспект, Малышево P;https://www.olx.ua/obyavlenie/zhk-luch-1-komnatnaya-48m2-dom-sdan-moskovskiy-prospekt-malyshevo-p-IDK2ET7.html#c6322527a2;922 831 грн.
ЖК Победы 2 Алексеевка;"https://www.olx.ua/obyavlenie/zhk-pobedy-2-alekseevka-IDLqOPZ.html#c6322527a2;promoted";928 341 грн.
Малогабаритная 1 ком. кв. на Салтовке, по ул. Светлой  (533 м/р) NA;https://www.olx.ua/obyavlenie/malogabaritnaya-1-kom-kv-na-saltovke-po-ul-svetloy-533-m-r-na-IDLnchS.html#c6322527a2;440 755 грн.
ЖК ОАЗИС Дом-2 Новострой за Караваном 2К Квартира 61м2 Салтовка OY;https://www.olx.ua/obyavlenie/zhk-oazis-dom-2-novostroy-za-karavanom-2k-kvartira-61m2-saltovka-oy-IDLncf9.html#c6322527a2;1 156 982 грн.
Продам 1 комнатную квартиру ул.Познанская IN;https://www.olx.ua/obyavlenie/prodam-1-komnatnuyu-kvartiru-ul-poznanskaya-in-IDLnc0r.html#c6322527a2;633 586 грн.
Продам 2к. квартиру, эксклюзив 50 м2,  Район ХТЗ;"https://www.olx.ua/obyavlenie/prodam-2k-kvartiru-eksklyuziv-50-m2-rayon-htz-IDLzqw4.html#1eca3333da;promoted";1 005 190 грн.
1 кв. с ремонтом Новострой Ж 1, улица Ньютона дом 102;"https://www.olx.ua/obyavlenie/1-kv-s-remontom-novostroy-zh-1-ulitsa-nyutona-dom-102-IDKRk6W.html#1eca3333da;promoted";964 152 грн.
Сдам 1к студию в Мануфактре;"https://www.olx.ua/obyavlenie/sdam-1k-studiyu-v-manufaktre-IDL1aRN.html#1eca3333da;promoted";7 500 грн.
My own apartment studio for rent metro st.Metrobudivnykiv (green line);"https://www.olx.ua/obyavlenie/my-own-apartment-studio-for-rent-metro-st-metrobudivnykiv-green-line-IDK7pHR.html#1eca3333da;promoted";5 509 грн.
"3к квартира от застройщика. КЖК ""София""";"https://www.olx.ua/obyavlenie/3k-kvartira-ot-zastroyschika-kzhk-sofiya-IDJOLSL.html#1eca3333da;promoted";3 071 788 грн.
Сдам Реальную 2комн.кв, Ботсад, пер.23 августа, 3, 10 минут пешком;https://www.olx.ua/obyavlenie/sdam-realnuyu-2komn-kv-botsad-per-23-avgusta-3-10-minut-peshkom-IDLzwCt.html#1eca3333da;8 000 грн.
Сдам 1-к. квартиру на ЖК Радужный;"https://www.olx.ua/obyavlenie/sdam-1-k-kvartiru-na-zhk-raduzhnyy-IDKm7KG.html#1eca3333da;promoted";8 000 грн.
САМАЯ ЛУЧШАЯ Планировка!2К Квартира 61м2 ЖК ЛЕВАДА Новострой у МетроOY;https://www.olx.ua/obyavlenie/samaya-luchshaya-planirovka-2k-kvartira-61m2-zhk-levada-novostroy-u-metrooy-IDLnbht.html#1eca3333da;1 253 398 грн.
2-комн кв с ремонтом, меб и техн в заселен новострое Вернадского, 1;"https://www.olx.ua/obyavlenie/2-komn-kv-s-remontom-meb-i-tehn-v-zaselen-novostroe-vernadskogo-1-IDLpjmM.html#1eca3333da;promoted";3 333 211 грн.
Продам 3к.кв. Одесская, 15/16 улучш.планир. Адекватная цена!;"https://www.olx.ua/obyavlenie/prodam-3k-kv-odesskaya-15-16-uluchsh-planir-adekvatnaya-tsena-IDKUXUJ.html#1eca3333da;promoted";1 267 171 грн.
Пр Юбилейный 38 д,м барабашова;"https://www.olx.ua/obyavlenie/pr-yubileynyy-38-d-m-barabashova-IDLv6bN.html#1eca3333da;promoted";6 500 грн.
Две (или по одной) видовые квартиры в IT-park Manufacturа, секция NEXT;"https://www.olx.ua/obyavlenie/dve-ili-po-odnoy-vidovye-kvartiry-v-it-park-manufactura-sektsiya-next-IDL4M07.html#1eca3333da;promoted";578 491 грн.
Полноценная 2к квартира 57м2 в ЖК Архитекторов, м. Победа;https://www.olx.ua/obyavlenie/polnotsennaya-2k-kvartira-57m2-v-zhk-arhitektorov-m-pobeda-IDJ6zm6.html#1eca3333da;1 212 077 грн.
Продам 3к квартиру в новострое ЖК Победа, Алексеевка, Архитекторов;https://www.olx.ua/obyavlenie/prodam-3k-kvartiru-v-novostroe-zhk-pobeda-alekseevka-arhitektorov-IDIrTXZ.html#1eca3333da;2 892 456 грн.
ЖК Гидропарк! Продам 2 ком. квартиру с новым ремонтом NA;https://www.olx.ua/obyavlenie/zhk-gidropark-prodam-2-kom-kvartiru-s-novym-remontom-na-IDLnaMJ.html#1eca3333da;1 570 190 грн.
Сдам Гостинку одна комната;https://www.olx.ua/obyavlenie/sdam-gostinku-odna-komnata-IDKiYOa.html#1eca3333da;5 000 грн.
Продам 3 к квартиру ЖК Резиденция!;"https://www.olx.ua/obyavlenie/prodam-3-k-kvartiru-zhk-rezidentsiya-IDL8Ptp.html#1eca3333da;promoted";6 473 592 грн.
211888805 N2 Продам 1-к кв в сданном новострое, м. Академика Павлова;"https://www.olx.ua/obyavlenie/211888805-n2-prodam-1-k-kv-v-sdannom-novostroe-m-akademika-pavlova-IDLyl2m.html#1eca3333da;promoted";757 548 грн.
Сдам 2х комнатную квартиру в Солоницевке;https://www.olx.ua/obyavlenie/sdam-2h-komnatnuyu-kvartiru-v-solonitsevke-IDLzuzn.html#1eca3333da;4 500 грн.
211085041 N2 Квартира с ремонтом, метро 7 минут;"https://www.olx.ua/obyavlenie/211085041-n2-kvartira-s-remontom-metro-7-minut-IDJ4IFE.html#1eca3333da;promoted";826 416 грн.
211791116 N2 Шикарная квартира в центра, парк им. Шевченка;"https://www.olx.ua/obyavlenie/211791116-n2-shikarnaya-kvartira-v-tsentra-park-im-shevchenka-IDLe9QA.html#1eca3333da;promoted";5 178 874 грн.
Продам 3х комн. квартиру Павловое Поле, м.23 августа;https://www.olx.ua/obyavlenie/prodam-3h-komn-kvartiru-pavlovoe-pole-m-23-avgusta-IDLrR2Q.html#1eca3333da;964 152 грн.
Продам свою 1 ком квартиру. Новые дома;"https://www.olx.ua/obyavlenie/prodam-svoyu-1-kom-kvartiru-novye-doma-IDKmF3R.html#1eca3333da;promoted";1 234 115 грн.
Дружбы Народов, новострой 2008г;"https://www.olx.ua/obyavlenie/druzhby-narodov-novostroy-2008g-IDLzuvt.html#1eca3333da;promoted";2 286 418 грн.
Продам 3 к.кв.  Павлово Поле , 6 мин. до метро 23-го Августа;"https://www.olx.ua/obyavlenie/prodam-3-k-kv-pavlovo-pole-6-min-do-metro-23-go-avgusta-IDLzt6k.html#1eca3333da;promoted";1 377 360 грн.
Продам Гостинку на Павловом Поле 5 мин до метро Ботанический Сад;https://www.olx.ua/obyavlenie/prodam-gostinku-na-pavlovom-pole-5-min-do-metro-botanicheskiy-sad-IDLzukg.html#1eca3333da;619 812 грн.
2 комн кв ст.м.Защитников Украины 3 мин пешком, SA;"https://www.olx.ua/obyavlenie/2-komn-kv-st-m-zaschitnikov-ukrainy-3-min-peshkom-sa-IDLxc0E.html#1eca3333da;promoted";785 095 грн.
Продам квартиру- студию с евроремонтом в центре города. Университет;"https://www.olx.ua/obyavlenie/prodam-kvartiru-studiyu-s-evroremontom-v-tsentre-goroda-universitet-IDK8yfp.html#1eca3333da;promoted";785 095 грн.
"Аренда Новая 2к.ка. ЖК ""Клеменова Дача"" Комплекс с бассейном и тен кор";https://www.olx.ua/obyavlenie/arenda-novaya-2k-ka-zhk-klemenova-dacha-kompleks-s-basseynom-i-ten-kor-IDLn9rT.html#1eca3333da;17 906 грн.
СОБСТВЕННИК!! НЕ АГЕНТ!! Продам 2-х комнатную кв.73 м.2 в ЖК Кристалл;https://www.olx.ua/obyavlenie/sobstvennik-ne-agent-prodam-2-h-komnatnuyu-kv-73-m-2-v-zhk-kristall-IDKTUzT.html#1eca3333da;1 969 625 грн.
4х комнатная квартира;https://www.olx.ua/obyavlenie/4h-komnatnaya-kvartira-IDLzu4Z.html#1eca3333da;1 420 058 грн.
В продаже 3-к. квартира в новострое ЖК “Атолл”, Холодная гора;https://www.olx.ua/obyavlenie/v-prodazhe-3-k-kvartira-v-novostroe-zhk-atoll-holodnaya-gora-IDKBpif.html#1eca3333da;4 820 760 грн.
1 ком кв ЖК Гидропарк;https://www.olx.ua/obyavlenie/1-kom-kv-zhk-gidropark-IDGTBwt.html#1eca3333da;550 944 грн.
Сдам 1 к.Квартиру Холодная гора;"https://www.olx.ua/obyavlenie/sdam-1-k-kvartiru-holodnaya-gora-IDLwfA5.html#1eca3333da;promoted";5 800 грн.
2к срочная продажа ! Холодная Гора;"https://www.olx.ua/obyavlenie/2k-srochnaya-prodazha-holodnaya-gora-IDL8o0l.html#1eca3333da;promoted";688 680 грн.
Сдам реальную комнату в 2-х из кв рядом с метро Студенческая;https://www.olx.ua/obyavlenie/sdam-realnuyu-komnatu-v-2-h-iz-kv-ryadom-s-metro-studencheskaya-IDLztAq.html#1eca3333da;2 000 грн.
Продам 1 комн. квартиру проспект Жуковского;"https://www.olx.ua/obyavlenie/prodam-1-komn-kvartiru-prospekt-zhukovskogo-IDL0iSi.html#1eca3333da;promoted";757 548 грн.
